id,task,model1_name,model1_h,model1_r,model1_hrc,model2_name,model2_h,model2_r,model2_hrc,predecessor,successor,initial_solution,belongsToStation,benefit_r,benefit_hrc
0,1,X,0,1000,1000,Y,20,1000,1000,-1,3,H,A,4162,10398
1,2,X,77,1000,51.59,Y,77,1000,51.59,-1,10,H,A,5285,10040
2,3,X,73,1000,1000,Y,73,1000,1000,1,"4,5,6,7",H,B,4519,9356
3,4,X,150,1000,100.5,Y,150,1000,100.5,3,8,H,C,5030,9743
4,5,X,88,1000,1000,Y,88,1000,1000,3,"8,9,11",H,E,4942,10205
5,6,X,62,1000,1000,Y,0,1000,1000,3,"10,11",H,F,4104,9501
6,7,X,36,1000,1000,Y,0,1000,1000,3,20,H,B,5121,10258
7,8,X,0,1000,1000,Y,20,1000,1000,"4,5",12,H,D,4823,10469
8,9,X,66,1000,44.22,Y,66,1000,44.22,5,"12,14",HRC,E,5763,9170
9,10,X,25,31.25,16.75,Y,25,31.25,16.75,"2,6",16,R,G,4128,10461
10,11,X,55,68.75,1000,Y,55,68.75,1000,"5,6",13,H,G,4080,9387
11,12,X,71,1000,1000,Y,71,1000,1000,"8,9",15,H,H,5630,9671
12,13,X,59,1000,1000,Y,59,1000,1000,11,"15,16",H,G,4863,10759
13,14,X,13,16.25,8.71,Y,0,0,0,9,19,HRC,H,4516,9373
14,15,X,55,68.75,36.85,Y,55,68.75,36.85,"12,13",23,R,I,4836,10185
15,16,X,19,1000,1000,Y,20,1000,1000,"10,13","17,18",H,J,4158,10865
16,17,X,37,1000,1000,Y,0,1000,1000,16,21,H,K,4271,9851
17,18,X,94,117.5,1000,Y,94,117.5,1000,16,"19,20",R,K,5201,10576
18,19,X,13,1000,1000,Y,13,1000,1000,"14,18",23,H,L,5537,9036
19,20,X,0,0,0,Y,90,112.5,60.3,"7,18",24,R,M,5063,9121
20,21,X,20,1000,13.4,Y,20,1000,13.4,17,"22,23",HRC,M,5642,9044
21,22,X,47,58.75,31.49,Y,47,58.75,31.49,21,24,H,N,5613,10033
22,23,X,96,120,64.32,Y,82,102.5,54.94,"15,19,21",24,H,L,5463,9743
23,24,X,41,1000,1000,Y,37,1000,1000,"20,22,23",25,H,N,4826,10455
24,25,X,125,1000,1000,Y,0,1000,1000,24,-1,H,O,4780,9773
